block_height,hash,waiting_time,gas_price,gas_used,fees
6819398,779328,21,1000000000,21000,21000000000000
6819466,939d97,0,9000000000,21000,189000000000000
6819392,6d38aa,14,24000000000,3362301,80695224000000000
6819481,3e9a37,70,62000000000,143081,8871022000000000
6819098,63462a,4,22000000000,75367,1658074000000000
6819170,2d0f64,22,10000000000,21000,210000000000000
6819495,beb773,7,43435741822,23611,1025561300159242
6819375,7a0916,74,12000000000,21080,252960000000000
6819287,2a417d,2,20000000000,21000,420000000000000
6819340,f59ecf,11,61000000000,21000,1281000000000000
6819484,83915c,0,18000000000,51749,931482000000000
6819011,44f1ee,11,20000000000,30614,612280000000000
6819234,02f566,-10,62000000000,143081,8871022000000000
6819196,08dd2b,48,1000000000,21000,21000000000000
6819205,10b445,0,62000000000,143081,8871022000000000
6819258,df227f,0,60000000000,53200,3192000000000000
6819420,d9c679,13,20000000000,21000,420000000000000
6819243,1e451f,291,6000000000,154041,924246000000000
6819235,f3e51c,0,100000000000,21000,2100000000000000
6819150,76b92d,53,62000000000,143081,8871022000000000
6819247,7be656,7,25000000000,21000,525000000000000
6819122,7ad30f,0,31000000000,21000,651000000000000
6819555,db695d,5,50000000000,21000,1050000000000000
6819542,8b1580,1,10000000000,37000,370000000000000
6819413,d20a21,3,72000000000,54823,3947256000000000
6819556,a39528,-10,50000000000,21000,1050000000000000
6819204,97b761,0,33333333333,21000,699999999993000
6819281,938471,0,1000000000,21000,21000000000000
6819416,5406b3,5,18000000000,37000,666000000000000
6819501,755ba7,8,62000000000,143081,8871022000000000
6819089,f9fdc9,1,66000000000,52879,3490014000000000
6819207,89ead5,6,62000000000,143081,8871022000000000
6819469,9eb1a1,28,50000000000,51852,2592600000000000
6819198,8c3f17,2,20000000000,37170,743400000000000
6819395,3ae388,38,15600000000,21000,327600000000000
6819371,809025,12,12000000000,21000,252000000000000
6819263,10ac93,18,36000000000,21000,756000000000000
6819446,0f915c,-6,50000000000,21000,1050000000000000
6819250,51c1c2,24,13500000000,21080,284580000000000
6819034,c5df63,11,25000000000,21000,525000000000000
6819349,39bac8,64,17000000000,142964,2430388000000000
6819158,ebca2d,108,11000000000,1394316,15337476000000000
6819420,ed8467,15,15000000000,143156,2147340000000000
6819548,95c089,20,62000000000,143081,8871022000000000
6819027,2eb6a2,-61,50000000000,48525,2426250000000000
6819112,3cca03,20,61900000000,143081,8856713900000000
6819216,012ca8,30,14000000000,33790,473060000000000
